"Date","State...UT","Confirmed.cases","Deceased.cases","Recovered.Cases","Susceptible","Death.Rate","Recovery.Rate","Overall.Hospital.Beds","Overall.ICU.Beds","Ventilators","Age.Distribution","Population","Action","Reward","Percentage.Distribution"
"2020-11-25","Assam",210999,2390.38929834418,207649,30994577,0.743742781065395,64.6076540136901,24178,1209,604,4127732,31205576,NA,NA,NA
"2020-11-25","Delhi",531920,6029.96199226625,493419,16256021,0.156618321401165,12.8157450455832,39455,1973,986,2343806,16787941,NA,NA,NA
"2020-11-25","Jharkhand",106966,1212.59007832898,104724,32881168,0.54085195286752,46.7100802854594,26496,1325,662,4528093,32988134,NA,NA,NA
"2020-11-25","Maharashtra",1750941,19760.3573057474,1658879,110623392,0.234577712027201,19.6927633609535,231739,11587,5793,19912066,112374333,NA,NA,NA
"2020-11-25","Nagaland",10870,123.224708331956,9397,1967632,0.0836556064711174,6.37949762389681,2561,128,64,211983,1978502,NA,NA,NA
"2020-11-26","Assam",212085.594085,2391.87188539015,207808.161215018,30993490.405915,0.750833557660695,65.2331514697947,24178,1209,604,4127732,31205576,NA,NA,NA
"2020-11-26","Delhi",536258.612894701,6034.75297766051,495303.81501541,16251682.3871053,0.162930524951489,13.3725623715954,39455,1973,986,2343806,16787941,NA,NA,NA
"2020-11-26","Jharkhand",107586.441330601,1213.27339227425,104834.35497808,32880547.5586694,0.553520312041962,47.827592074209,26496,1325,662,4528093,32988134,NA,NA,NA
"2020-11-26","Maharashtra",1767810.358952,19795.5070271013,1663051.9997217,110606522.641048,0.238025019412183,19.9968600943278,231739,11587,5793,19912066,112374333,NA,NA,NA
"2020-11-26","Nagaland",11074.8369523301,123.450801289362,9469.17400739596,1967427.16304767,0.0868900497180265,6.66481700967444,2561,128,64,211983,1978502,NA,NA,NA
"2020-11-27","Assam",213193.828777999,2395.39542906466,207970.498032824,30992382.171222,0.71845189428868,62.3766733687832,24178,1209,604,4127732,31205576,NA,NA,NA
"2020-11-27","Delhi",540474.3238547,6047.70152035428,497135.720049154,16247466.6761453,0.166378146410435,13.6766868103222,39455,1973,986,2343806,16787941,NA,NA,NA
"2020-11-27","Jharkhand",108208.072491299,1215.14128637399,104944.923674003,32879925.9275087,0.540994361605364,46.7226425629547,26496,1325,662,4528093,32988134,NA,NA,NA
"2020-11-27","Maharashtra",1784730.122719,19859.8319911546,1667238.10751008,110589602.877281,0.234600497458705,19.6947733283032,231739,11587,5793,19912066,112374333,NA,NA,NA
"2020-11-27","Nagaland",11274.8934591201,124.063020583436,9539.67088536569,1967227.10654088,0.088346418184509,6.7932873906959,2561,128,64,211983,1978502,NA,NA,NA
"2020-11-28","Assam",214378.070929699,2400.68545380463,208143.975017287,30991197.9290703,0.661842150363145,57.3829677654159,24178,1209,604,4127732,31205576,NA,NA,NA
"2020-11-28","Delhi",544644.983836999,6067.10932737674,498948.516313765,16243296.016163,0.167376127803966,13.7647215713253,39455,1973,986,2343806,16787941,NA,NA,NA
"2020-11-28","Jharkhand",108856.9734185,1218.00426214181,105060.345036505,32879277.0265815,0.511067444716836,44.0827045912458,26496,1325,662,4528093,32988134,NA,NA,NA
"2020-11-28","Maharashtra",1802159.495515,19948.5031272559,1671550.96709844,110572173.504485,0.226268661100822,18.9597984808385,231739,11587,5793,19912066,112374333,NA,NA,NA
"2020-11-28","Nagaland",11474.61381201,124.984046211082,9610.05645926165,1967027.38618799,0.0883192276273249,6.79088883475207,2561,128,64,211983,1978502,NA,NA,NA
"2020-11-29","Assam",215684.412319399,2407.62423157748,208335.345735615,30989891.5876806,0.594769351293751,51.4662864784112,24178,1209,604,4127732,31205576,NA,NA,NA
"2020-11-29","Delhi",548830.183489,6091.74017088322,500768.100273468,16239110.816511,0.16643404183561,13.6816175038486,39455,1973,986,2343806,16787941,NA,NA,NA
"2020-11-29","Jharkhand",109554.462863699,1221.75798190857,105184.411480358,32878579.5371363,0.471663823748755,40.6067997526705,26496,1325,662,4528093,32988134,NA,NA,NA
"2020-11-29","Maharashtra",1820467.535004,20058.462207528,1676081.98296115,110553865.464996,0.214915871163012,17.9583367748667,231739,11587,5793,19912066,112374333,NA,NA,NA
"2020-11-29","Nagaland",11677.42703124,126.159286768905,9681.53933689873,1966824.57296876,0.0871670248815503,6.68924977213142,2561,128,64,211983,1978502,NA,NA,NA
"2020-11-30","Assam",217155.012208499,2416.20888686804,208550.788933552,30988420.9877915,0.526426663597238,45.437584724378,24178,1209,604,4127732,31205576,NA,NA,NA
"2020-11-30","Delhi",553076.123410299,6120.69987488071,502614.571307476,16234864.8765897,0.164051282983899,13.4714276071249,39455,1973,986,2343806,16787941,NA,NA,NA
"2020-11-30","Jharkhand",110319.082240701,1226.35951852183,105320.421733872,32877814.9177593,0.428764123750027,36.8224958959318,26496,1325,662,4528093,32988134,NA,NA,NA
"2020-11-30","Maharashtra",1839963.668521,20187.9374242443,1680907.86260627,110534369.331479,0.202026472064442,16.8213264293114,231739,11587,5793,19912066,112374333,NA,NA,NA
"2020-11-30","Nagaland",11886.03524822,127.550794745447,9755.07239059988,1966615.96475178,0.0852302378331069,6.51840030937699,2561,128,64,211983,1978502,NA,NA,NA
"2020-12-01","Assam",218831.239085902,2426.52519377797,208796.36899804,30986744.7609141,0.461818736151141,39.7383367338922,24178,1209,604,4127732,31205576,153,57.763,16.0908209331291
"2020-12-01","Delhi",557419.1698345,6153.34877936337,504503.771615966,16230521.8301655,0.160659642372693,13.1722413972903,39455,1973,986,2343806,16787941,84,99.952,8.42819800645401
"2020-12-01","Jharkhand",111168.009180099,1231.81162875004,105471.432295579,32876965.9908199,0.386129081172862,33.0615382187967,26496,1325,662,4528093,32988134,181,31.308,17.0723764843523
"2020-12-01","Maharashtra",1860919.85758699,20336.1005595162,1686096.0992231,110513413.142413,0.188631102030916,15.6396829567039,231739,11587,5793,19912066,112374333,585,25.887,57.3874911774058
"2020-12-01","Nagaland",12102.6231325599,129.132868464079,9831.42647932818,1966399.37686744,0.0827907988003634,6.3032104935936,2561,128,64,211983,1978502,15,75.599,1.02111339865883
"2020-12-02","Assam",220756.059466701,2438.73201113711,209078.386299674,30984819.9405333,0.403158765869213,34.5637748656116,24178,1209,604,4127732,31205576,153,57.763,16.0923481849348
"2020-12-02","Delhi",561888.5447504,6189.23560958128,506448.451968447,16226052.4552496,0.156604172758552,12.8144969538061,39455,1973,986,2343806,16787941,84,99.952,8.42720036062918
"2020-12-02","Jharkhand",112118.097442299,1238.15245887699,105640.44246709,32876015.9025577,0.345805561280927,29.5044864946853,26496,1325,662,4528093,32988134,181,31.308,17.0745641205203
"2020-12-02","Maharashtra",1883586.60509101,20502.8292363508,1691708.93568283,110490746.394909,0.175382340263984,14.470972213899,231739,11587,5793,19912066,112374333,585,25.887,57.384731155859
"2020-12-02","Nagaland",12329.0124014099,130.888828837469,9911.24485664273,1966172.98759859,0.080062708619182,6.06255794370432,2561,128,64,211983,1978502,15,75.599,1.0211561780567
"2020-12-03","Assam",222975.965239599,2453.05318299325,209403.6601362,30982600.0347604,0.351083248456425,29.9700462056736,24178,1209,604,4127732,31205576,153,57.763,16.0939338604864
"2020-12-03","Delhi",566508.2850579,6228.04943828712,508459.121231734,16221432.7149421,0.152145844058517,12.4212151710745,39455,1973,986,2343806,16787941,84,99.952,8.42623488486146
"2020-12-03","Jharkhand",113186.661001101,1245.44916627561,105830.533916632,32874947.3389989,0.308733491015799,26.2342543372158,26496,1325,662,4528093,32988134,181,31.308,17.0769150280228
"2020-12-03","Maharashtra",1908204.691073,20688.5430702364,1697806.27543418,110466128.308927,0.162660336762496,13.3487283073552,231739,11587,5793,19912066,112374333,585,25.887,57.3817097607451
"2020-12-03","Nagaland",12566.7749842401,132.808682016253,9995.08303419944,1965935.22501576,0.0771988030745369,5.8099247365197,2561,128,64,211983,1978502,15,75.599,1.02120646588429
"2020-12-04","Assam",225542.651299998,2469.77472694434,209779.775342365,30980033.3487,0.305436949874716,25.943457120581,24178,1209,604,4127732,31205576,153,57.763,16.0955789286379
"2020-12-04","Delhi",571298.6878969,6269.5843761597,510544.673512341,16216642.3121031,0.147474194296352,12.0091157341829,39455,1973,986,2343806,16787941,84,99.952,8.42530552998574
"2020-12-04","Jharkhand",114392.1029194,1253.79416812346,106044.982673543,32873741.8970806,0.275211567922765,23.2771907015717,26496,1325,662,4528093,32988134,181,31.308,17.0794492513461
"2020-12-04","Maharashtra",1935013.973158,20894.0916573156,1704447.87043009,110439319.026842,0.150665098482014,12.29059441624,231739,11587,5793,19912066,112374333,585,25.887,57.3784009918166
"2020-12-04","Nagaland",12817.3149816,134.88745211808,10083.4376664299,1965684.6850184,0.0743031742366161,5.55449312792212,2561,128,64,211983,1978502,15,75.599,1.02126529821363
"2020-12-05","Assam",228514.586648699,2489.24596355616,210215.313610596,30977061.4133513,0.265714784266469,22.4394525584565,24178,1209,604,4127732,31205576,153,57.763,16.0972818147008
