Date,States,Action_Buckets,Bucket_Value
2020-12-27,Assam,30,200
2020-12-27,Delhi,16,200
2020-12-27,Jharkhand,35,200
2020-12-27,Maharashtra,116,200
2020-12-27,Nagaland,2,200
2020-12-28,Assam,30,200
2020-12-28,Delhi,16,200
2020-12-28,Jharkhand,35,200
2020-12-28,Maharashtra,116,200
2020-12-28,Nagaland,2,200
2020-12-29,Assam,30,200
2020-12-29,Delhi,16,200
2020-12-29,Jharkhand,35,200
2020-12-29,Maharashtra,116,200
2020-12-29,Nagaland,2,200
2020-12-30,Assam,30,200
2020-12-30,Delhi,16,200
2020-12-30,Jharkhand,35,200
2020-12-30,Maharashtra,116,200
2020-12-30,Nagaland,2,200
2020-12-31,Assam,30,200
2020-12-31,Delhi,16,200
2020-12-31,Jharkhand,35,200
2020-12-31,Maharashtra,116,200
2020-12-31,Nagaland,2,200
2021-01-01,Assam,30,200
2021-01-01,Delhi,16,200
2021-01-01,Jharkhand,35,200
2021-01-01,Maharashtra,116,200
2021-01-01,Nagaland,2,200
2021-01-02,Assam,30,200
2021-01-02,Delhi,16,200
2021-01-02,Jharkhand,35,200
2021-01-02,Maharashtra,116,200
2021-01-02,Nagaland,2,200
2021-01-03,Assam,30,200
2021-01-03,Delhi,16,200
2021-01-03,Jharkhand,35,200
2021-01-03,Maharashtra,116,200
2021-01-03,Nagaland,2,200
2021-01-04,Assam,30,200
2021-01-04,Delhi,16,200
2021-01-04,Jharkhand,35,200
2021-01-04,Maharashtra,116,200
2021-01-04,Nagaland,2,200
2021-01-05,Assam,30,200
2021-01-05,Delhi,16,200
2021-01-05,Jharkhand,35,200
2021-01-05,Maharashtra,116,200
2021-01-05,Nagaland,2,200
2021-01-06,Assam,30,200
2021-01-06,Delhi,16,200
2021-01-06,Jharkhand,35,200
2021-01-06,Maharashtra,116,200
2021-01-06,Nagaland,2,200
2021-01-07,Assam,30,200
2021-01-07,Delhi,16,200
2021-01-07,Jharkhand,35,200
2021-01-07,Maharashtra,116,200
2021-01-07,Nagaland,2,200
2021-01-08,Assam,30,200
2021-01-08,Delhi,16,200
2021-01-08,Jharkhand,35,200
2021-01-08,Maharashtra,116,200
2021-01-08,Nagaland,2,200
2021-01-09,Assam,30,200
2021-01-09,Delhi,16,200
2021-01-09,Jharkhand,35,200
2021-01-09,Maharashtra,116,200
2021-01-09,Nagaland,2,200
2021-01-10,Assam,30,200
2021-01-10,Delhi,16,200
2021-01-10,Jharkhand,35,200
2021-01-10,Maharashtra,116,200
2021-01-10,Nagaland,2,200
2021-01-11,Assam,30,200
2021-01-11,Delhi,16,200
2021-01-11,Jharkhand,35,200
2021-01-11,Maharashtra,116,200
2021-01-11,Nagaland,2,200
2021-01-12,Assam,30,200
2021-01-12,Delhi,16,200
2021-01-12,Jharkhand,35,200
2021-01-12,Maharashtra,116,200
2021-01-12,Nagaland,2,200
2021-01-13,Assam,30,200
2021-01-13,Delhi,16,200
2021-01-13,Jharkhand,35,200
2021-01-13,Maharashtra,116,200
2021-01-13,Nagaland,2,200
2021-01-14,Assam,30,200
2021-01-14,Delhi,16,200
2021-01-14,Jharkhand,35,200
2021-01-14,Maharashtra,116,200
2021-01-14,Nagaland,2,200
2021-01-15,Assam,30,200
2021-01-15,Delhi,16,200
2021-01-15,Jharkhand,35,200
2021-01-15,Maharashtra,116,200
2021-01-15,Nagaland,2,200
2021-01-16,Assam,30,200
2021-01-16,Delhi,16,200
2021-01-16,Jharkhand,35,200
2021-01-16,Maharashtra,116,200
2021-01-16,Nagaland,2,200
2021-01-17,Assam,30,200
2021-01-17,Delhi,16,200
2021-01-17,Jharkhand,35,200
2021-01-17,Maharashtra,116,200
2021-01-17,Nagaland,2,200
2021-01-18,Assam,30,200
2021-01-18,Delhi,16,200
2021-01-18,Jharkhand,35,200
2021-01-18,Maharashtra,116,200
2021-01-18,Nagaland,2,200
2021-01-19,Assam,30,200
2021-01-19,Delhi,16,200
2021-01-19,Jharkhand,35,200
2021-01-19,Maharashtra,116,200
2021-01-19,Nagaland,2,200
2021-01-20,Assam,30,200
2021-01-20,Delhi,16,200
2021-01-20,Jharkhand,35,200
2021-01-20,Maharashtra,116,200
2021-01-20,Nagaland,2,200
2021-01-21,Assam,30,200
2021-01-21,Delhi,16,200
2021-01-21,Jharkhand,35,200
2021-01-21,Maharashtra,116,200
2021-01-21,Nagaland,2,200
2021-01-22,Assam,30,200
2021-01-22,Delhi,16,200
2021-01-22,Jharkhand,35,200
2021-01-22,Maharashtra,116,200
2021-01-22,Nagaland,2,200
2021-01-23,Assam,30,200
2021-01-23,Delhi,16,200
2021-01-23,Jharkhand,35,200
2021-01-23,Maharashtra,116,200
