Date,State,Susceptible,Infected People,Recovery,Death,Bucket_Value,Vaccine %,Amount of Vaccine
2020-12-27,Assam,30440886.08,243651.7136,289483.8141,6043.741482,200,15.8974,158974
2020-12-27,Delhi,16025448.33,115768.1093,594289.9358,8049.374011,200,8.2051,82051
2020-12-27,Jharkhand,32703453.61,80435.7114,136418.6526,2458.308717,200,16.9231,169231
2020-12-27,Maharashtra,108316117,1090874.648,2235625.498,37709.93655,200,58.4615,584615
2020-12-27,Nagaland,1953150.115,7086.880054,14518.27552,244.9207907,200,0.5128,5128
2020-12-27,Assam,30440886.08,243651.7136,289483.8141,6043.741482,300,15.9864,159864
2020-12-27,Delhi,16025448.33,115768.1093,594289.9358,8049.374011,300,8.1633,81633
2020-12-27,Jharkhand,32703453.61,80435.7114,136418.6526,2458.308717,300,17.0068,170068
2020-12-27,Maharashtra,108316117,1090874.648,2235625.498,37709.93655,300,58.1633,581633
2020-12-27,Nagaland,1953150.115,7086.880054,14518.27552,244.9207907,300,0.6803,6803
2020-12-27,Assam,30440886.08,243651.7136,289483.8141,6043.741482,400,16.1616,161616
2020-12-27,Delhi,16025448.33,115768.1093,594289.9358,8049.374011,400,8.3333,83333
2020-12-27,Jharkhand,32703453.61,80435.7114,136418.6526,2458.308717,400,17.1717,171717
2020-12-27,Maharashtra,108316117,1090874.648,2235625.498,37709.93655,400,57.5758,575758
2020-12-27,Nagaland,1953150.115,7086.880054,14518.27552,244.9207907,400,0.7576,7576
2020-12-27,Assam,30440886.08,243651.7136,289483.8141,6043.741482,500,16.129,161290
2020-12-27,Delhi,16025448.33,115768.1093,594289.9358,8049.374011,500,8.2661,82661
2020-12-27,Jharkhand,32703453.61,80435.7114,136418.6526,2458.308717,500,17.1371,171371
2020-12-27,Maharashtra,108316117,1090874.648,2235625.498,37709.93655,500,57.6613,576613
2020-12-27,Nagaland,1953150.115,7086.880054,14518.27552,244.9207907,500,0.8065,8065
2020-12-28,Assam,30353025.35,282173.2762,302606.2125,6629.188771,200,15.8974,158974
2020-12-28,Delhi,16012024.8,120954.6278,600207.0823,8175.247598,200,8.2051,82051
2020-12-28,Jharkhand,32679510.54,91117.65691,140701.9625,2627.95814,200,16.9231,169231
2020-12-28,Maharashtra,108090549.4,1192304.138,2292668.177,39506.41188,200,58.4615,584615
2020-12-28,Nagaland,1952121.755,7521.583982,14883.38034,253.9875983,200,0.5128,5128
2020-12-28,Assam,30353025.35,282173.2762,302606.2125,6629.188771,300,15.9864,159864
2020-12-28,Delhi,16012024.8,120954.6278,600207.0823,8175.247598,300,8.1633,81633
2020-12-28,Jharkhand,32679510.54,91117.65691,140701.9625,2627.95814,300,17.0068,170068
2020-12-28,Maharashtra,108090549.4,1192304.138,2292668.177,39506.41188,300,58.1633,581633
2020-12-28,Nagaland,1952121.755,7521.583982,14883.38034,253.9875983,300,0.6803,6803
2020-12-28,Assam,30353025.35,282173.2762,302606.2125,6629.188771,400,16.1616,161616
2020-12-28,Delhi,16012024.8,120954.6278,600207.0823,8175.247598,400,8.3333,83333
2020-12-28,Jharkhand,32679510.54,91117.65691,140701.9625,2627.95814,400,17.1717,171717
2020-12-28,Maharashtra,108090549.4,1192304.138,2292668.177,39506.41188,400,57.5758,575758
2020-12-28,Nagaland,1952121.755,7521.583982,14883.38034,253.9875983,400,0.7576,7576
2020-12-28,Assam,30353025.35,282173.2762,302606.2125,6629.188771,500,16.129,161290
2020-12-28,Delhi,16012024.8,120954.6278,600207.0823,8175.247598,500,8.2661,82661
2020-12-28,Jharkhand,32679510.54,91117.65691,140701.9625,2627.95814,500,17.1371,171371
2020-12-28,Maharashtra,108090549.4,1192304.138,2292668.177,39506.41188,500,57.6613,576613
2020-12-28,Nagaland,1952121.755,7521.583982,14883.38034,253.9875983,500,0.8065,8065
2020-12-29,Assam,30251606.32,326683.8498,317800.918,7306.020932,200,15.8974,158974
2020-12-29,Delhi,15998012.27,126367.0191,606389.1638,8306.685089,200,8.2051,82051
2020-12-29,Jharkhand,32652409.96,103210.788,145553.9266,2820.051463,200,16.9231,169231
2020-12-29,Maharashtra,107844566.8,1302942.148,2355009.362,41467.34203,200,58.4615,584615
