Date,State / UT,Confirmed cases,Death Rate,Recovery Rate,Population,Susceptible,Overall Hospital Beds,Overall ICU Beds,Ventilators,Age Distribution
2020-12-01,Assam,218831.239085902,0.011088568542197,0.954143338356173,31205576,30986744.7609141,24178,1209,604,4127732
2020-12-01,Delhi,557419.1698345,0.011038997423053,0.905070724004263,16787941,16230521.8301655,39455,1973,986,2343806
2020-12-01,Jharkhand,111168.009180099,0.011080630460463,0.948757048664144,32988134,32876965.9908199,26496,1325,662,4528093
2020-12-01,Maharashtra,1860919.85758699,0.010927982995402,0.906055192193723,112374333,110513413.142413,231739,11587,5793,19912066
2020-12-01,Nagaland,12102.6231325599,0.01066982480159,0.812338479984433,1978502,1966399.37686744,2561,128,64,211983
2020-12-02,Assam,220756.059466701,0.011047180390104,0.947101460339355,31205576,30984819.9405333,24178,1209,604,4127732
2020-12-02,Delhi,561888.5447504,0.011015059245123,0.901332580455826,16787941,16226052.4552496,39455,1973,986,2343806
2020-12-02,Jharkhand,112118.097442299,0.011043288167766,0.942224715518895,32988134,32876015.9025577,26496,1325,662,4528093
2020-12-02,Maharashtra,1883586.60509101,0.010884994181279,0.898131750942822,112374333,110490746.394909,231739,11587,5793,19912066
2020-12-02,Nagaland,12329.0124014099,0.010616327129536,0.803896089479909,1978502,1966172.98759859,2561,128,64,211983
2020-12-03,Assam,222975.965239599,0.0110014242134,0.939131084873586,31205576,30982600.0347604,24178,1209,604,4127732
2020-12-03,Delhi,566508.2850579,0.010993748198494,0.897531659540983,16787941,16221432.7149421,39455,1973,986,2343806
2020-12-03,Jharkhand,113186.661001101,0.011003497720138,0.935008886918242,32988134,32874947.3389989,26496,1325,662,4528093
2020-12-03,Maharashtra,1908204.691073,0.01084188880104,0.88974012241815,112374333,110466128.308927,231739,11587,5793,19912066
2020-12-03,Nagaland,12566.7749842401,0.010568239041664,0.795357842145994,1978502,1965935.22501576,2561,128,64,211983
2020-12-04,Assam,225542.651299998,0.010950366649984,0.930111329866976,31205576,30980033.3487,24178,1209,604,4127732
2020-12-04,Delhi,571298.6878969,0.010974267067267,0.893656303310952,16787941,16216642.3121031,39455,1973,986,2343806
2020-12-04,Jharkhand,114392.1029194,0.010960495839533,0.927030625079617,32988134,32873741.8970806,26496,1325,662,4528093
2020-12-04,Maharashtra,1935013.973158,0.010797902210089,0.880845251803727,112374333,110439319.026842,231739,11587,5793,19912066
2020-12-04,Nagaland,12817.3149816,0.010523846243283,0.786704366780814,1978502,1965684.6850184,2561,128,64,211983
2020-12-05,Assam,228514.586648699,0.010893160038764,0.919920766081183,31205576,30977061.4133513,24178,1209,604,4127732
2020-12-05,Delhi,576277.4050631,0.010956030737396,0.889698015036237,16787941,16211663.5949369,39455,1973,986,2343806
2020-12-05,Jharkhand,115754.4468785,0.010913648244811,0.918214001437757,32988134,32872379.5531215,26496,1325,662,4528093
2020-12-05,Maharashtra,1964260.135957,0.010752486134743,0.871419713468475,112374333,110410072.864043,231739,11587,5793,19912066
2020-12-05,Nagaland,13081.9307029501,0.010481934715124,0.777925572186767,1978502,1965420.06929705,2561,128,64,211983
2020-12-06,Assam,231958.587306801,0.010829018179448,0.908438389586357,31205576,30973617.4126932,24178,1209,604,4127732
2020-12-06,Delhi,581460.239157001,0.01093861030137,0.885650672756333,16787941,16206480.760843,39455,1973,986,2343806
2020-12-06,Jharkhand,117295.815232199,0.010862412160432,0.908485837377112,32988134,32870838.1847678,26496,1325,662,4528093
2020-12-06,Maharashtra,1996200.060443,0.010705249400028,0.861442635383701,112374333,110378132.939557,231739,11587,5793,19912066
2020-12-06,Nagaland,13361.8598364701,0.010441650341668,0.769018241407212,1978502,1965140.14016353,2561,128,64,211983
2020-12-07,Assam,235951.4705857,0.010757209462012,0.89554591214656,31205576,30969624.5294143,24178,1209,604,4127732
2020-12-07,Delhi,586861.7478601,0.010921691424267,0.881509949838934,16787941,16201079.2521399,39455,1973,986,2343806
2020-12-07,Jharkhand,119040.888297401,0.010806314112333,0.897776211465955,32988134,32869093.1117026,26496,1325,662,4528093
2020-12-07,Maharashtra,2031106.200966,0.010655917961533,0.850899141437927,112374333,110343226.799034,231739,11587,5793,19912066
2020-12-07,Nagaland,13658.31386389,0.010402397329815,0.759984292886139,1978502,1964843.68613611,2561,128,64,211983
2020-12-08,Assam,240581.8624046,0.010677063398554,0.88113129057835,31205576,30964994.1375954,24178,1209,604,4127732
2020-12-08,Delhi,592495.6867602,0.010905044351224,0.877272901687271,16787941,16195445.3132398,39455,1973,986,2343806
2020-12-08,Jharkhand,121017.365743399,0.010744939352832,0.886019623590467,32988134,32867116.6342566,26496,1325,662,4528093
2020-12-08,Maharashtra,2069270.41892099,0.010604306875419,0.839780115137522,112374333,110305062.581079,231739,11587,5793,19912066
2020-12-08,Nagaland,13972.5037875101,0.010363766379499,0.750829538379506,1978502,1964529.49621249,2561,128,64,211983
2020-12-09,Assam,245952.2125136,0.010587988221208,0.865093443860397,31205576,30959623.7874864,24178,1209,604,4127732
2020-12-09,Delhi,598375.346864801,0.010888501571614,0.872937662428572,16787941,16189565.6531352,39455,1973,986,2343806
2020-12-09,Jharkhand,123256.450367901,0.010677929381266,0.873156707321007,32988134,32864877.5496321,26496,1325,662,4528093
2020-12-09,Maharashtra,2111007.404798,0.010550301796593,0.828082201705466,112374333,110263325.595202,231739,11587,5793,19912066
2020-12-09,Nagaland,14305.6602286899,0.010325482503252,0.741562768166054,1978502,1964196.33977131,2561,128,64,211983
2020-12-10,Assam,252181.0765884,0.010489497304903,0.847348031521714,31205576,30953394.9234116,24178,1209,604,4127732
2020-12-10,Delhi,604513.8060154,0.010871941607897,0.868503228140844,16787941,16183427.1939846,39455,1973,986,2343806
2020-12-10,Jharkhand,125793.3695556,0.010604985436929,0.859136403165924,32988134,32862340.6304444,26496,1325,662,4528093
2020-12-10,Maharashtra,2156657.905329,0.010493846576691,0.815807944898598,112374333,110217675.094671,231739,11587,5793,19912066
2020-12-10,Nagaland,14659.04906568,0.010287367881383,0.732195078165256,1978502,1963842.95093432,2561,128,64,211983
2020-12-11,Assam,259405.719004098,0.010381242310312,0.827834088695902,31205576,30946170.2809959,24178,1209,604,4127732
2020-12-11,Delhi,610924.121180899,0.010855277027916,0.863969299669547,16787941,16177016.8788191,39455,1973,986,2343806
2020-12-11,Jharkhand,128667.946730401,0.010525876525173,0.843918503433728,32988134,32859466.0532696,26496,1325,662,4528093
2020-12-11,Maharashtra,2206591.878019,0.010434934931854,0.802965989895382,112374333,110167741.121981,231739,11587,5793,19912066
2020-12-11,Nagaland,15033.98413461,0.010249314898725,0.722739358436288,1978502,1963468.01586539,2561,128,64,211983
2020-12-12,Assam,267785.101694301,0.010263050394309,0.806521156945628,31205576,30937790.8983057,24178,1209,604,4127732
2020-12-12,Delhi,617619.473933401,0.010838445749206,0.859336171065031,16787941,16170321.5260666,39455,1973,986,2343806
2020-12-12,Jharkhand,131925.235596199,0.010440450371644,0.827476449749471,32988134,32856208.7644038,26496,1325,662,4528093
2020-12-12,Maharashtra,2261211.64347599,0.010373605202875,0.789571301774877,112374333,110113121.356524,231739,11587,5793,19912066
2020-12-12,Nagaland,15431.83771822,0.010211266789369,0.713209897799906,1978502,1963070.16228178,2561,128,64,211983
2020-12-13,Assam,277503.298625801,0.010134962600462,0.783416474290905,31205576,30928072.7013742,24178,1209,604,4127732
2020-12-13,Delhi,624613.286127299,0.010821404484245,0.854604647705042,16787941,16163327.7138727,39455,1973,986,2343806
2020-12-13,Jharkhand,135616.227915298,0.01034864614805,0.809800243808348,32988134,32852517.7720847,26496,1325,662,4528093
2020-12-13,Maharashtra,2320955.137352,0.010309936558304,0.775645343845054,112374333,110053377.862648,231739,11587,5793,19912066
2020-12-13,Nagaland,15854.04964167,0.010173203415288,0.703622065225707,1978502,1962647.95035833,2561,128,64,211983
2020-12-14,Assam,288773.4475592,0.009997269016742,0.758571466248722,31205576,30916802.5524408,24178,1209,604,4127732
2020-12-14,Delhi,631919.3076989,0.010804124107808,0.849775989984208,16787941,16156021.6923011,39455,1973,986,2343806
2020-12-14,Jharkhand,139798.6489795,0.010250507597128,0.790899282005146,32988134,32848335.3510205,26496,1325,662,4528093
2020-12-14,Maharashtra,2386299.29018401,0.010244046376691,0.761216183921218,112374333,109988033.709816,231739,11587,5793,19912066
2020-12-14,Nagaland,16302.13519729,0.010135131218018,0.693992049833603,1978502,1962199.86480271,2561,128,64,211983
2020-12-15,Assam,301842.273827601,0.00985053674428,0.732086884473153,31205576,30903733.7261724,24178,1209,604,4127732
2020-12-15,Delhi,639551.6878583,0.010786586210412,0.844851872513201,16787941,16148389.3121417,39455,1973,986,2343806
